                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4667,                 3.6526,                 1.8844,                0.01735,                0.58333,                0.01583,                 0.0046,                0.67004,                 4.9283,                 1.5373,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                  1.127,                 3.3553,                 1.6275,                0.53496,                   0.75,                0.66375,                0.51184,                 0.6515,                 10.831,                 1.6766,             4.9515e-05,             4.9515e-05,             4.9515e-05
                      3,                0.92227,                 2.0955,                 1.4762,                0.78833,                      1,                0.91167,                0.80874,                 0.3776,                 18.817,                 1.2298,               8.17e-05,               8.17e-05,               8.17e-05
                      4,                0.95685,                 2.1729,                 1.5344,                0.61539,                0.83333,                0.76263,                0.68724,                0.77325,                 14.163,                 1.4489,             0.00011322,             0.00011322,             0.00011322
                      5,                 1.0128,                 1.9385,                 1.4187,                0.71221,                0.83218,                0.68025,                0.50951,                0.77122,                 8.3345,                 1.5151,             0.00014409,             0.00014409,             0.00014409
                      6,                0.72439,                 1.3986,                 1.1748,                0.65282,                0.97318,                0.78792,                0.49835,                0.97342,                 11.995,                 1.7708,             0.00017429,             0.00017429,             0.00017429
                      7,                0.63507,                 1.6264,                 1.2058,                0.66019,                 0.9656,                  0.995,                0.72201,                0.80243,                 17.802,                 1.7078,             0.00020384,             0.00020384,             0.00020384
                      8,                0.84342,                 1.7324,                 1.3567,                0.46205,                      1,                  0.995,                0.76268,                0.71879,                 21.954,                 1.5921,             0.00023272,             0.00023272,             0.00023272
                      9,                0.79207,                 1.4667,                 1.3544,                0.27324,                      1,                0.71833,                0.46575,                 1.1554,                  34.84,                 2.4908,             0.00026095,             0.00026095,             0.00026095
                     10,                0.71661,                 1.7331,                  1.312,                 0.3389,                0.77033,                0.42998,                0.22513,                 1.1438,                 14.712,                 2.7524,             0.00028851,             0.00028851,             0.00028851
                     11,                0.93102,                 1.7101,                 1.5157,                0.57238,                0.82831,                0.56942,                0.24044,                 1.6095,                 9.7312,                 3.4704,             0.00031541,             0.00031541,             0.00031541
                     12,                0.82042,                 1.5443,                 1.3778,                0.24434,                0.58333,                0.20058,                0.11603,                 1.9946,                 20.158,                 3.7391,             0.00034166,             0.00034166,             0.00034166
                     13,                0.96289,                 2.1555,                 1.5655,                0.47238,                0.41667,                0.28962,                0.07643,                 2.6036,                 37.776,                 4.4388,             0.00036724,             0.00036724,             0.00036724
                     14,                0.83855,                 1.8123,                 1.2799,                0.05929,                0.66667,                  0.162,                0.08964,                 2.0713,                 25.571,                 4.4946,             0.00039216,             0.00039216,             0.00039216
                     15,                0.94635,                 1.8361,                 1.5153,                0.34959,                0.66667,                0.44482,                0.18268,                 1.8524,                 7.5651,                 3.4082,             0.00041643,             0.00041643,             0.00041643
                     16,                0.82624,                 1.7477,                 1.3723,                0.27872,                0.41667,                0.54247,                0.15991,                 2.7579,                 11.442,                 4.9448,             0.00044003,             0.00044003,             0.00044003
                     17,                0.90368,                 1.3822,                 1.3767,                0.25453,                0.58333,                0.38222,                 0.1906,                 2.3179,                 16.733,                 5.4271,             0.00046297,             0.00046297,             0.00046297
                     18,                 1.0446,                 1.2878,                 1.4698,                0.23377,                      1,                0.54238,                0.23702,                 2.1214,                 27.211,                 6.1845,             0.00048526,             0.00048526,             0.00048526
                     19,                 1.2815,                 2.2002,                 1.8126,                0.33066,                      1,                0.69083,                0.31567,                 2.0544,                  21.65,                 6.0185,             0.00050688,             0.00050688,             0.00050688
                     20,                 1.0941,                 1.4589,                 1.5505,                0.21085,                0.77009,                0.40565,                0.10622,                 2.6293,                 19.162,                 7.3585,             0.00052784,             0.00052784,             0.00052784
                     21,                 1.1759,                 1.5016,                  1.672,                  0.625,                0.41667,                0.57937,                 0.2207,                 2.5595,                 33.237,                 9.0111,             0.00054814,             0.00054814,             0.00054814
                     22,                 1.0926,                 1.5237,                 1.6534,                0.10308,                      1,                0.18695,                0.05306,                 2.6446,                 32.154,                 7.4942,             0.00056779,             0.00056779,             0.00056779
                     23,                 1.0699,                 1.6176,                 1.5827,                   0.75,                0.33333,                0.36977,                0.12839,                 2.4964,                 41.403,                  5.356,             0.00058677,             0.00058677,             0.00058677
                     24,                 1.0389,                 1.5435,                 1.4402,                    0.5,                0.16667,                0.38931,                0.11107,                 2.9821,                 51.152,                 7.8091,             0.00060509,             0.00060509,             0.00060509
                     25,                  1.452,                 1.8752,                 1.8061,                0.16192,                   0.75,                0.36435,                0.05178,                 3.2666,                 34.179,                  10.14,             0.00062275,             0.00062275,             0.00062275
                     26,                  1.182,                 1.3778,                 1.6564,                      1,                0.16667,                0.28709,                0.08917,                 2.9409,                 24.185,                 8.9791,             0.00063975,             0.00063975,             0.00063975
                     27,                 1.2851,                 2.4939,                 1.6589,                0.12334,                0.83333,                0.27954,                0.11757,                 2.7911,                 36.219,                 9.0251,             0.00065609,             0.00065609,             0.00065609
                     28,                 1.6872,                 1.8567,                 2.1564,                0.12334,                0.83333,                0.27954,                0.11757,                 2.7911,                 36.219,                 9.0251,             0.00067178,             0.00067178,             0.00067178
                     29,                 1.5576,                  1.717,                  1.909,                0.02499,                0.58333,                0.03079,                0.00955,                 3.5303,                  99.52,                 8.5533,              0.0006868,              0.0006868,              0.0006868
                     30,                 1.3201,                 1.7793,                 1.7195,                0.66667,                0.16667,                0.16849,                0.01774,                 4.0702,                 189.91,                 8.8512,             0.00070116,             0.00070116,             0.00070116
                     31,                 1.1963,                 1.6177,                 1.7743,                0.66667,                0.16667,                0.16849,                0.01774,                 4.0702,                 189.91,                 8.8512,             0.00071486,             0.00071486,             0.00071486
                     32,                 1.0193,                 1.3396,                 1.4984,                0.66667,                0.16667,                0.07566,                0.00846,                  4.014,                 25.561,                 11.676,              0.0007279,              0.0007279,              0.0007279
                     33,                 1.4395,                  1.902,                 1.8599,                0.66667,                0.16667,                0.25616,                 0.0487,                  3.623,                 18.549,                 13.459,             0.00074028,             0.00074028,             0.00074028
                     34,                 1.2654,                 1.4227,                 1.6613,                0.66667,                0.16667,                0.25616,                 0.0487,                  3.623,                 18.549,                 13.459,               0.000752,               0.000752,               0.000752
                     35,                 1.3292,                 1.5317,                 1.7102,                0.40224,                0.58333,                0.36064,                0.13628,                 2.9384,                 6.2187,                 8.7144,             0.00076306,             0.00076306,             0.00076306
                     36,                 1.1303,                 1.4187,                 1.4727,                      1,                   0.25,                0.44778,                0.13666,                 3.2516,                 41.771,                 10.628,             0.00077346,             0.00077346,             0.00077346
                     37,                 1.2335,                 1.4958,                 1.7393,                      1,                   0.25,                0.44778,                0.13666,                 3.2516,                 41.771,                 10.628,              0.0007832,              0.0007832,              0.0007832
                     38,                0.98737,                 1.4681,                 1.4149,                0.02214,                0.58333,                0.02289,                0.00622,                 3.0872,                 115.95,                 11.671,             0.00079228,             0.00079228,             0.00079228
                     39,                 1.0663,                 1.3559,                 1.4063,                 0.0079,                0.58333,                0.00869,                0.00243,                 2.9124,                 414.14,                  11.49,              0.0008007,              0.0008007,              0.0008007
                     40,                 1.4444,                 1.6407,                 1.8916,                 0.0079,                0.58333,                0.00869,                0.00243,                 2.9124,                 414.14,                  11.49,             0.00080846,             0.00080846,             0.00080846
                     41,                 1.3633,                 1.7367,                 1.7131,                0.01789,                0.83333,                0.03447,                0.01147,                 2.6674,                 574.96,                 17.099,             0.00081556,             0.00081556,             0.00081556
                     42,                 1.3359,                 1.6901,                 1.7641,                0.06167,                0.58333,                0.04821,                0.01492,                 3.2157,                 305.39,                 32.733,               0.000822,               0.000822,               0.000822
                     43,                 1.5931,                 1.9518,                 1.8903,                0.06167,                0.58333,                0.04821,                0.01492,                 3.2157,                 305.39,                 32.733,             0.00082778,             0.00082778,             0.00082778
                     44,                 1.4365,                 1.6907,                 1.6848,                0.04094,                      1,                0.09597,                0.02287,                 3.0359,                 873.09,                 49.158,              0.0008329,              0.0008329,              0.0008329
                     45,                 1.4084,                  1.687,                 1.8563,                0.04094,                      1,                0.09597,                0.02287,                 3.0359,                 873.09,                 49.158,             0.00083736,             0.00083736,             0.00083736
                     46,                  1.173,                 1.5034,                 1.7189,                0.05107,                0.58333,                0.06028,                0.02254,                 3.4838,                 738.76,                     25,             0.00084116,             0.00084116,             0.00084116
                     47,                 1.0453,                 1.4326,                 1.4542,                0.05107,                0.58333,                0.06028,                0.02254,                 3.4838,                 738.76,                     25,              0.0008443,              0.0008443,              0.0008443
                     48,                 1.0952,                 1.5824,                  1.532,                0.10949,                0.41667,                0.12025,                 0.0235,                 2.8311,                  361.4,                 17.695,             0.00084678,             0.00084678,             0.00084678
                     49,                 1.3203,                 1.6064,                 1.6116,                0.10949,                0.41667,                0.12025,                 0.0235,                 2.8311,                  361.4,                 17.695,              0.0008486,              0.0008486,              0.0008486
                     50,                 1.0857,                 1.2708,                  1.604,                0.08625,                0.58333,                0.08215,                0.01391,                 3.0766,                 238.39,                 17.262,             0.00084975,             0.00084975,             0.00084975
                     51,                 1.1937,                 1.6794,                 1.5655,                0.08625,                0.58333,                0.08215,                0.01391,                 3.0766,                 238.39,                 17.262,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.2646,                 1.4788,                 1.6186,                0.10057,                   0.75,                0.11289,                0.02235,                 3.3253,                 207.86,                 14.725,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.2234,                 1.4057,                 1.5861,                0.10057,                   0.75,                0.11289,                0.02235,                 3.3253,                 207.86,                 14.725,             0.00082533,             0.00082533,             0.00082533
